date,endog
2010-3-31,-4.644794825
2010-6-30,-4.621430249
2010-9-30,-4.646032881
2010-12-31,-4.80499613
2011-3-31,-4.790276832
2011-6-30,-4.779699939
2011-9-30,-4.854786132
2011-12-31,-4.949241155
2012-3-31,-4.857798938
2012-6-30,-4.783165127
2012-9-30,-4.830021007
2012-12-31,-4.860260378
2013-3-31,-4.758240495
2013-6-30,-4.765955821
2013-9-30,-4.711021478
2013-12-31,-4.762454152
2014-3-31,-4.630698147
2014-6-30,-4.606632333
2014-9-30,-4.505182674
2014-12-31,-4.487120619
2015-3-31,-4.35092096
2015-6-30,-4.277953296
2015-9-30,-4.208061865
2015-12-31,-4.183839701
2016-3-31,-4.133658146
2016-6-30,-4.140429258
2016-9-30,-4.082050917
2016-12-31,-4.093249409
2017-3-31,-4.095267262
2017-6-30,-4.113447964
2017-9-30,-4.09932467
2017-12-31,-4.131819188
2018-3-31,-4.138732345
2018-6-30,-4.152065145
2018-9-30,-4.045496257
2018-12-31,-4.149368248
2019-3-31,-4.151293874
2019-6-30,-4.167808299
2019-9-30,-4.18701147
2019-12-31,-4.110952906
2020-3-31,-4.18459144
2020-6-30,-4.150138081
2020-9-30,-4.159628166
2020-12-31,-4.147659592
2021-3-31,-4.232619633
2021-6-30,-4.240631808
2021-9-30,-4.261868929
2021-12-31,-4.24021153
2022-3-31,-4.300018991
2022-6-30,-4.279807632
2022-9-30,-4.267031721
2022-12-31,-4.267151539
2023-3-31,-4.339640404
2023-6-30,-4.312333072
2023-9-30,-4.314250555
2023-12-31,-4.297750055
2024-3-31,-4.360307294
2024-6-30,-4.333624909
2024-9-30,-4.36352409
