date,GDP_Const_Qtr,Ind_Pro_Mth,CPI_Mth,Core_CPI_Mth,PPI_Mth,FAI_Cum,Retail_Sales_Mth,Imports_Mth,Exports_Mth,M1,M2,Loans_RMB,Social_Financing,Manuf_PMI,Ind_Revenue_Cum,PPIRM_Mth,CGPI_Mth,70_Cities_Price_Mth,Power_Gen_Mth,Freight_Mth,Urban_Income_Cum,Urban_Exp_Cum,Nat_Housing_Index,Macro_Eco_Index,Housing_Sales_Cum
2010-3-31,12.2,18.1,102.4,,5.91,26.4,18,66.27,24.21,29.94,22.5,21.81,,55.1,,11.46,105.6,9.5,17.6,15.8,9.8,11.01,105.89,104,57.7
2010-6-30,10.8,13.7,102.9,,6.41,25.5,18.3,33.87,43.87,24.56,18.46,18.2,,52.1,,10.8,106.6,7.7,11.4,12.3,10.2,9.89,105.06,102.6,25.4
2010-9-30,9.9,13.3,103.6,,4.33,24.5,18.84,24.38,25.08,20.87,18.96,18.5,,53.8,,7.1,106.1,6.2,8.1,11.9,10.5,9.32,103.52,101.9,15.9
2010-12-31,9.9,13.5,104.6,,5.93,24.5,19.1,25.94,17.87,21.19,19.72,19.9,19.9,53.9,,9.47,107.9,5,5.1,0.31,11.3,9.84,101.79,103.6,18.3
2011-3-31,10.2,14.8,105.383,,7.31,25,17.4,27.5,35.76,15,16.6,17.9,,53.4,,10.53,109.3,3.7,14.8,14.3,12.3,10.69,102.98,102.5,27.3
2011-6-30,10,15.1,106.355,,7.12,25.6,17.7,19.25,17.88,13.1,15.9,16.9,,50.9,,10.55,109.5,3.4,16.2,14.7,13.2,11.37,101.75,102.9,24.1
2011-9-30,9.4,13.8,106.067,,6.52,24.9,17.7,20.75,17.01,8.9,13,15.9,,51.2,,9.96,108.4,2.4,11.5,15.2,13.7,12.61,100.41,102.5,23.2
2011-12-31,8.8,12.8,104.07,,1.69,23.8,18.1,11.78,13.32,7.9,13.6,15.8,16.1,50.3,,3.45,102.3,0.1,9.7,8.8,14.1,12.54,98.89,99.3,12.1
2012-3-31,8.1,11.9,103.6,,-0.32,20.9,15.2,5.3,8.84,4.4,13.4,15.7,,53.1,,0.12,100.3,-1.6,7.2,12.1,14,12.32,96.92,98.6,-14.6
2012-6-30,7.7,9.5,102.2,,-2.08,20.4,13.7,6.07,11.08,4.7,13.6,16,,50.2,,-2.52,97.5,-2,0,12.5,13.3,11.96,94.71,97.3,-5.2
2012-9-30,7.5,9.2,101.9,,-3.55,20.5,14.2,2.36,9.75,7.3,14.8,16.3,,49.8,,-4.1,96.2,-1.7,1.5,11.8,13,10.56,94.39,97.2,2.7
2012-12-31,8.1,10.3,102.5,,-1.94,20.6,15.2,6.3,14.02,6.5,13.8,15,15,50.6,,-2.42,98.4,-0.4,7.6,9.8,12.6,9.98,95.59,98.3,10
